case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,n_Tasks,n_Agents,caseData
10,TBTA,107.04599052530668,0.00201241346505972,26.0,0.7500637503780365,26,10,"{'case': 24, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 23}"
10,Random,70.7459781024963,5.191167195638021e-06,27.0,0.5972119696614684,27,10,"{'case': 25, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 24}"
10,Swarm-GAP,101.28346129232699,0.00012114966357195818,29.43,0.7556778738061056,27,10,"{'case': 25, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 24}"
10,CBBA,128.74857948341537,0.13801917791366577,1.0,0.7910669096382443,27,10,"{'case': 25, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 24}"
10,TBTA,112.46470994955713,0.001815771968276412,27.0,0.77823584180587,27,10,"{'case': 25, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 24}"
10,Random,75.9877306770205,3.572446959359305e-06,28.0,0.6034996436847546,28,10,"{'case': 26, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 25}"
10,Swarm-GAP,105.21398612125216,0.0001382166203998384,30.64,0.7329624715844321,28,10,"{'case': 26, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 25}"
10,CBBA,132.8155043555722,0.13298910856246948,1.0,0.7896470436734819,28,10,"{'case': 26, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 25}"
10,TBTA,117.43835696416778,0.002482392958232335,28.0,0.7952769384798983,28,10,"{'case': 26, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 25}"
10,Random,79.70881680743169,6.549358367919922e-06,29.0,0.6091901971373267,29,10,"{'case': 27, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 26}"
10,Swarm-GAP,110.0377217920001,0.0001413655700615735,32.19,0.7245118475279463,29,10,"{'case': 27, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 26}"
10,CBBA,135.7374163032515,0.14557924509048462,1.0,0.7758943096089668,29,10,"{'case': 27, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 26}"
10,TBTA,123.13969824578511,0.0021015921954450935,29.0,0.8195966120484327,29,10,"{'case': 27, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 26}"
10,Random,82.45847485178679,4.6688715616861974e-06,30.0,0.6105325396285087,30,10,"{'case': 28, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 27}"
10,Swarm-GAP,112.33146962771293,0.00014678122573978035,33.12,0.7082390587441872,30,10,"{'case': 28, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 27}"
10,CBBA,138.76686188426123,0.15730956554412842,1.0,0.7636031799227047,30,10,"{'case': 28, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 27}"
10,TBTA,125.7977474485153,0.0032723453044891356,30.0,0.8455481011487619,30,10,"{'case': 28, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 3, 'Rec': 27}"
