
Best Saved


Epoch #62:  80%|########  | 4800/6000 [00:05<00:01, 821.55it/s, agent0/loss=8.044, env_step=370800, gradient_step=6180, len=6, n/ep=100, n/st=600, rew=2.96]
Epoch #62: 6001it [00:07, 812.04it/s, agent0/loss=8.089, env_step=372000, gradient_step=6200, len=6, n/ep=100, n/st=600, rew=3.44]



Epoch #63:  90%|######### | 5400/6000 [00:06<00:00, 816.89it/s, agent0/loss=8.554, env_step=377400, gradient_step=6290, len=6, n/ep=100, n/st=600, rew=2.83]
Epoch #63: 6001it [00:07, 826.46it/s, agent0/loss=8.591, env_step=378000, gradient_step=6300, len=6, n/ep=100, n/st=600, rew=3.18]


Epoch #64: 6001it [00:07, 817.65it/s, agent0/loss=8.364, env_step=384000, gradient_step=6400, len=6, n/ep=100, n/st=600, rew=2.74]
Epoch #65:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #65:  80%|########  | 4800/6000 [00:05<00:01, 817.43it/s, agent0/loss=8.560, env_step=388800, gradient_step=6480, len=6, n/ep=100, n/st=600, rew=3.19]
Epoch #65: 6001it [00:07, 814.95it/s, agent0/loss=8.329, env_step=390000, gradient_step=6500, len=6, n/ep=100, n/st=600, rew=2.93]



Epoch #66:  90%|######### | 5400/6000 [00:06<00:00, 846.40it/s, agent0/loss=8.160, env_step=395400, gradient_step=6590, len=6, n/ep=100, n/st=600, rew=2.62]
Epoch #66: 6001it [00:07, 823.55it/s, agent0/loss=8.133, env_step=396000, gradient_step=6600, len=6, n/ep=100, n/st=600, rew=2.71]



Epoch #67: 100%|##########| 6000/6000 [00:07<00:00, 813.14it/s, agent0/loss=8.617, env_step=401400, gradient_step=6690, len=6, n/ep=100, n/st=600, rew=2.88]
Epoch #67: 6001it [00:07, 812.63it/s, agent0/loss=8.662, env_step=402000, gradient_step=6700, len=6, n/ep=100, n/st=600, rew=2.58]


